Category,Old URL (Source),New URL (Destination),Redirect Type,Notes
Attractions & Experiences,https://daytonalagoon.com/arcade-games,https://daytonalagoon.com/attractions/mega-arcade/,301,
Attractions & Experiences,https://daytonalagoon.com/birthdays,https://daytonalagoon.com/plan-your-visit/groups/birthdays/,301,
Attractions & Experiences,https://daytonalagoon.com/bumper-cars,https://daytonalagoon.com/attractions/bumper-cars/,301,
Attractions & Experiences,https://daytonalagoon.com/cabanas,https://daytonalagoon.com/plan-your-visit/cabanas/,301,
Attractions & Experiences,https://daytonalagoon.com/dining,https://daytonalagoon.com/dining/,301,
Attractions & Experiences,https://daytonalagoon.com/fun-park,https://daytonalagoon.com/attractions/,301,
Attractions & Experiences,https://daytonalagoon.com/go-karts,https://daytonalagoon.com/attractions/go-karts/,301,
Attractions & Experiences,https://daytonalagoon.com/group-events,https://daytonalagoon.com/plan-your-visit/groups/,301,
Attractions & Experiences,https://daytonalagoon.com/laser-tag,https://daytonalagoon.com/attractions/laser-tag/,301,
Attractions & Experiences,https://daytonalagoon.com/mega-arcade,https://daytonalagoon.com/attractions/mega-arcade/,301,
Attractions & Experiences,https://daytonalagoon.com/mini-golf,https://daytonalagoon.com/attractions/mini-golf/,301,
Attractions & Experiences,https://daytonalagoon.com/rock-wall,https://daytonalagoon.com/attractions/rock-wall/,301,
Attractions & Experiences,https://daytonalagoon.com/sky-maze-ropes-course,https://daytonalagoon.com/attractions/sky-maze-ropes-course/,301,
Attractions & Experiences,https://daytonalagoon.com/sunnys-scoops,https://daytonalagoon.com/dining/sunnys-scoops/,301,
Attractions & Experiences,https://daytonalagoon.com/waterpark,https://daytonalagoon.com/attractions/,301,
Attractions & Experiences,https://daytonalagoon.com/waterpark-birthdays,https://daytonalagoon.com/plan-your-visit/groups/birthdays/,301,
Blog Post,https://daytonalagoon.com/blog-entries/3-must-haves-in-your-summer-beach-bag,https://daytonalagoon.com/,301,No blog on new site.
Blog Post,https://daytonalagoon.com/blog-entries/4-ways-to-enjoy-your-fall-with-family,https://daytonalagoon.com/,301,No blog on new site.
Blog Post,https://daytonalagoon.com/blog-entries/5ways-to-make-your-birthday-memorable-at-daytona-lagoon,https://daytonalagoon.com/,301,No blog on new site.
Blog Post,https://daytonalagoon.com/blog-entries/a-busy-familys-guide-to-new-years-resolutions,https://daytonalagoon.com/,301,No blog on new site.
Blog Post,https://daytonalagoon.com/blog-entries/a-glimpse-into-daytona-lagoons-nighttime-entertainment,https://daytonalagoon.com/,301,No blog on new site.
Blog Post,https://daytonalagoon.com/blog-entries/a-new-years-resolution-meme-is-the-best-way-to-start-2023,https://daytonalagoon.com/,301,No blog on new site.
Blog Post,https://daytonalagoon.com/blog-entries/back-to-school-blues-the-fun-doesnt-have-to-stop,https://daytonalagoon.com/,301,No blog on new site.
Blog Post,https://daytonalagoon.com/blog-entries/birthday-parties-amp-group-events-with-effortless-planning,https://daytonalagoon.com/,301,No blog on new site.
